2026-06-02 | normal | http | 192.168.0.20 -> 192.168.0.120 | 01:09:22 - 01:19:23 | curl_wget | 20260602_normal_http_01_eve.json
2026-06-02 | normal | ssh | 192.168.0.20 -> 192.168.0.120 | 01:21:25 - 01:29:54 | ssh | 20260602_normal_ssh_01_eve.json
2026-06-02 | normal | transferencia | 192.168.0.20 -> 192.168.0.120 | 01:31:56 - 01:42:21 | scp_wget | 20260602_normal_transferencia_01_eve.json
2026-06-02 | normal | sostenido | 192.168.0.20 -> 192.168.0.120 | 01:44:23 - 01:59:40 | curl_ssh_mixto | 20260602_normal_sostenido_01_eve.json
2026-06-02 | anom | synflood | 192.168.0.100 -> 192.168.0.120 | 03:12:25 - 03:14:25 | hping3 | 20260602_anom_synflood_01_eve.json.gz
2026-06-02 | anom | portscan | 192.168.0.100 -> 192.168.0.120 | 04:06:40 - 04:09:01 | nmap | 20260602_anom_portscan_01_eve.json
2026-06-02 | anom | udpflood | 192.168.0.100 -> 192.168.0.120 | 04:09:29 - 04:11:29 | hping3 | 20260602_anom_udpflood_01_eve.json
2026-06-02 | anom | icmpflood | 192.168.0.100 -> 192.168.0.120 | 04:13:41 - 04:15:41 | hping3 | 20260602_anom_icmpflood_01_eve.json
2026-06-02 | anom | httpabuse | 192.168.0.100 -> 192.168.0.120 | 04:15:55 - 04:20:55 | curl | 20260602_anom_httpabuse_01_eve.json
2026-06-02 | anom | bruteforce | 192.168.0.100 -> 192.168.0.120 | 04:21:02 - 04:21:28 | hydra | 20260602_anom_bruteforce_01_eve.json
2026-06-02 | normal | http | 192.168.0.20 -> 192.168.0.120 | 05:10:51 - 05:20:52 | curl_wget | 20260602_normal_http_01_eve.json
2026-06-02 | normal | ssh | 192.168.0.20 -> 192.168.0.120 | 05:22:54 - 05:31:23 | ssh | 20260602_normal_ssh_01_eve.json
2026-06-02 | normal | transferencia | 192.168.0.20 -> 192.168.0.120 | 05:33:24 - 05:43:49 | scp_wget | 20260602_normal_transferencia_01_eve.json
2026-06-02 | normal | sostenido | 192.168.0.20 -> 192.168.0.120 | 05:45:50 - 06:01:06 | curl_ssh_mixto | 20260602_normal_sostenido_01_eve.json
2026-06-02 | anom | synflood | 192.168.0.100 -> 192.168.0.120 | 09:24:48 - 09:26:48 | hping3 | 20260602_anom_synflood_01_eve.json
2026-06-02 | normal | http | 192.168.0.20 -> 192.168.0.120 | 09:23:32 - 09:33:33 | curl_wget | 20260602_normal_http_01_eve.json
