N,N_label,auc_mean,auc_std,recall_tau1_mean,recall_tau1_std,precision_tau1_mean,precision_tau1_std,f1_tau1_mean,recall_tau2_mean,precision_tau2_mean,f1_tau2_mean,separacion_mean,separacion_std,mean_normal_mean,mean_anom_mean
50,50,0.9216320601971978,0.03482417890813413,0.9934799999999999,0.0002683281573000032,0.8976286349253177,0.04063571976453259,0.9427370206676325,0.19863999999999998,0.19574300354749705,0.19718086162398255,0.1623577449995158,0.06378054447659974,-0.46243412855058785,-0.6247918735501037
100,100,0.9202690783164623,0.027798051685141763,0.99328,0.0001788854382000131,0.9392501045619401,0.02004549729366311,0.9654197556985883,0.0,0.0,0.0,0.1653357675440372,0.05775712477773821,-0.4301660063865948,-0.5955017739306321
150,150,0.9164429556650247,0.04634208859349932,0.99328,0.0001788854382000131,0.9438955168882165,0.017089268155662023,0.9678936181141395,0.0,0.0,0.0,0.14735238646043064,0.05080771847677936,-0.42173839282052256,-0.5690907792809532
200,200,0.9313336297129993,0.027765917561711803,0.99328,0.0001788854382000131,0.9522273402818792,0.013456418663675711,0.9722811903623411,0.0,0.0,0.0,0.15587970164673076,0.043393788696060934,-0.4136076648917972,-0.5694873665385278
300,300,0.9284621228384019,0.017973220557315674,0.9932399999999999,8.944271909998174e-05,0.9595589777024183,0.008064225926851574,0.9760949260234962,0.0,0.0,0.0,0.15447496086843965,0.0330145039747556,-0.4133000441016598,-0.5677750049700995
400,400,0.9286031325301204,0.011863270951109683,0.9932000000000001,1.2412670766236366e-16,0.9580457538034226,0.00855031716438618,0.975290643301836,0.0,0.0,0.0,0.1547800333753748,0.018675596121299577,-0.4117411628362836,-0.5665211962116584
500,500,0.9367893974272172,0.010965354629608537,0.9932000000000001,1.2412670766236366e-16,0.9610203676550668,0.00625046973534617,0.9768369557747066,0.0,0.0,0.0,0.16048207048904345,0.019957423737466715,-0.41045256561206667,-0.5709346361011101
684,684,0.9348804795050271,0.012735231163731533,0.9932000000000001,1.2412670766236366e-16,0.9659831630948335,0.0053002674084889016,0.9793966423333398,0.0,0.0,0.0,0.15603595297958728,0.014772902011654383,-0.41314264556211333,-0.5691785985417006
800,800,0.9396640271877656,0.01430040886759271,0.9932000000000001,1.2412670766236366e-16,0.9681679877283207,0.005346105530913337,0.9805182858991209,0.0,0.0,0.0,0.15374247738206476,0.017439385985205745,-0.4133491034854956,-0.5670915808675604
1000,1000,0.9357072466734904,0.004705093309559543,0.9932000000000001,1.2412670766236366e-16,0.9733585841424268,0.004254550212682718,0.9831754515136616,0.0,0.0,0.0,0.15416053953111594,0.010180265121627063,-0.41414713087627497,-0.568307670407391
1500,1500,0.9347473375262055,0.004350013573845351,0.9932000000000001,1.2412670766236366e-16,0.9873610798738562,0.002770293225965955,0.9902703736086339,0.0,0.0,0.0,0.15299046166465774,0.006750822994297697,-0.412019239253974,-0.5650097009186318
1977,1977(todo),,,0.9932000000000001,1.2412670766236366e-16,1.0,0.0,0.9965884005619104,0.0,0.0,0.0,,,,-0.5720336373261918
